cost,threshold,u
9.97631157484439e-06,0.5,0.00379046360202831
1.25594321575479e-05,0.5,0.00425284039907627
1.58113883008419e-05,0.5,0.00476521192417168
1.99053585276748e-05,0.5,0.00533768958551494
2.50593616813636e-05,0.5,0.00600304592820451
3.15478672240096e-05,0.5,0.00674024830917318
3.97164117362141e-05,0.5,0.00757766880289388
5e-05,0.5,0.00850835521421684
6.29462705897083e-05,0.5,0.00961000263021842
7.92446596230557e-05,0.5,0.0108241942299665
9.97631157484439e-05,0.5,0.0121809382628745
0.000125594321575479,0.5,0.0137267357059412
0.000158113883008419,0.5,0.0154777181072665
0.000199053585276748,0.5,0.0174703257212417
0.000250593616813636,0.5,0.0197302649962675
0.000315478672240097,0.5,0.0222598049290498
0.000397164117362141,0.5,0.025178560332874
5e-04,0.5,0.0284991799277348
0.000629462705897083,0.5,0.0323172728302897
0.000792446596230557,0.5,0.0366109927667609
0.00099763115748444,0.5,0.0415984954653355
0.00125594321575479,0.5,0.0473365074906914
0.00158113883008419,0.5,0.0539776452613996
0.00199053585276749,0.5,0.0616251809255496
0.00250593616813636,0.5,0.0705588456845334
0.00315478672240097,0.5,0.0809511667637906
0.00397164117362141,0.5,0.0931863620082426
0.005,0.5,0.107697911276198
0.00629462705897084,0.5,0.1249594082354
0.00792446596230557,0.5,0.145693616278769
0.00997631157484439,0.5,0.170935570099818
0.0125594321575479,0.5,0.202123264595064
0.0158113883008419,0.5,0.241443687069265
0.0199053585276749,0.5,0.292497245050176
0.0250593616813636,0.5,0.361993906433674
0.0315478672240097,0.5,0.465686193458991
0.0397164117362141,0.5,0.673324710932949
0.05,0.5,0.673324710932949
0.0629462705897084,0.5,0.673324710932949
0.0792446596230557,0.5,0.673324710932949
0.099763115748444,0.5,0.673324710932949
9.97631157484439e-06,0.1,0.00691925963596653
1.25594321575479e-05,0.1,0.00776017449383193
1.58113883008419e-05,0.1,0.0087526120623548
1.99053585276748e-05,0.1,0.00983168723814515
2.50593616813636e-05,0.1,0.0110953831880382
