cost,type,u
0.0999999999999997,RNA,0.354705337091482
0.0792446596230557,RNA,0.402450307767406
0.0629462705897084,RNA,0.441241835540387
0.05,RNA,0.472755106985225
0.0397164117362141,RNA,0.498116660456297
0.0315478672240097,RNA,0.518188019954054
0.0250593616813636,RNA,0.533521758038855
0.0199053585276748,RNA,0.544464810023995
0.0158113883008419,RNA,0.55156009770541
0.0125594321575479,RNA,0.555495202471349
0.00997631157484439,RNA,0.557199260058378
0.00792446596230557,RNA,0.557504091959772
0.00629462705897084,RNA,0.557035552305136
0.005,RNA,0.556230498340418
0.00397164117362141,RNA,0.555234684163395
0.00315478672240097,RNA,0.554323122031315
0.00250593616813636,RNA,0.553470152154691
0.00199053585276749,RNA,0.552722656096354
